Yield,Beta,c,Env,E[T],Var[T]
32.5,0.01,-4.0,rich,51.72043019341017,2162.6732684755298
32.5,0.01,-4.0,poor,50.92173077456967,2120.005225140331
45.0,0.01,-4.0,rich,50.574063721722005,2157.5137899042647
45.0,0.01,-4.0,poor,49.75924875701092,2113.391315955487
57.5,0.01,-4.0,rich,49.376104695206664,2149.7606771464248
57.5,0.01,-4.0,poor,48.54542855944574,2104.101921256496
32.5,0.01,-2.5,rich,13.977384863529984,211.6050190070773
32.5,0.01,-2.5,poor,13.523216291489431,197.56798377001226
45.0,0.01,-2.5,rich,13.144021206755472,197.97060364041272
45.0,0.01,-2.5,poor,12.706559178956727,184.4525295507407
57.5,0.01,-2.5,rich,12.319420189755105,184.01395868178645
57.5,0.01,-2.5,poor,11.899773749898175,171.0677603543193
32.5,0.01,-1.0,rich,3.627809122566303,10.381401245115411
32.5,0.01,-1.0,poor,3.5388899811406795,9.764630926810066
45.0,0.01,-1.0,rich,3.3722490547827233,8.949745349699956
45.0,0.01,-1.0,poor,3.2909647092466603,8.411123099673441
57.5,0.01,-1.0,rich,3.1359374578670254,7.6713395306962004
57.5,0.01,-1.0,poor,3.0619605978373565,7.20506303864249
32.5,0.01,0.5,rich,1.5650685378311961,0.9052926387072486
32.5,0.01,0.5,poor,1.5465035463804415,0.8645408468360848
45.0,0.01,0.5,rich,1.5046978944086216,0.7820999513373684
45.0,0.01,0.5,poor,1.4880683975362425,0.7472825398823115
57.5,0.01,0.5,rich,1.4504506917873983,0.6760221978256145
57.5,0.01,0.5,poor,1.4355755858748056,0.6462939893881965
32.5,0.01,2.0,rich,1.1249205482948827,0.14129067728028924
32.5,0.01,2.0,poor,1.120851645137584,0.1361703928764869
45.0,0.01,2.0,rich,1.1113152718855728,0.12454388953168764
45.0,0.01,2.0,poor,1.1076872127796162,0.12006519618343348
57.5,0.01,2.0,rich,1.099175163377416,0.10985726602101939
57.5,0.01,2.0,poor,1.0959412451135382,0.10593583325691479
32.5,0.05623413251903491,-4.0,rich,46.001377283461224,2677.3014269392916
32.5,0.05623413251903491,-4.0,poor,46.880828826032825,2668.2645571911435
45.0,0.05623413251903491,-4.0,rich,40.127846431110385,2602.4763007179404
45.0,0.05623413251903491,-4.0,poor,39.76063615508354,2554.014649567316
57.5,0.05623413251903491,-4.0,rich,32.348824796968984,2345.959583544306
57.5,0.05623413251903491,-4.0,poor,30.729460302687052,2215.3342881070057
32.5,0.05623413251903491,-2.5,rich,20.549380142786386,881.2962425778734
32.5,0.05623413251903491,-2.5,poor,16.101568477253597,585.9459276828725
45.0,0.05623413251903491,-2.5,rich,12.632163474965907,529.6954572485622
45.0,0.05623413251903491,-2.5,poor,9.469683873539264,313.6575813172276
57.5,0.05623413251903491,-2.5,rich,6.61993760005739,226.89285461197176
57.5,0.05623413251903491,-2.5,poor,4.887011289414238,115.45023278317996
32.5,0.05623413251903491,-1.0,rich,3.2275131654924536,13.005566010388586
32.5,0.05623413251903491,-1.0,poor,2.75954926216652,7.917577852510693
45.0,0.05623413251903491,-1.0,rich,2.0902158520872027,3.852401002634335
45.0,0.05623413251903491,-1.0,poor,1.8687776814337849,2.428731066792032
57.5,0.05623413251903491,-1.0,rich,1.5290916493363154,1.1363212923737684
57.5,0.05623413251903491,-1.0,poor,1.4279335058737765,0.789516376955831
32.5,0.05623413251903491,0.5,rich,1.4010131773675099,0.6263571928034537
32.5,0.05623413251903491,0.5,poor,1.3300185738935657,0.4797291722394378
45.0,0.05623413251903491,0.5,rich,1.2060672638681056,0.2692241827677918
45.0,0.05623413251903491,0.5,poor,1.1699949027065513,0.21233264520548234
57.5,0.05623413251903491,0.5,rich,1.1060228169328195,0.12370063234479141
57.5,0.05623413251903491,0.5,poor,1.0876574888206183,0.09961565379387818
32.5,0.05623413251903491,2.0,rich,1.0859083481653637,0.09541960340672136
32.5,0.05623413251903491,2.0,poor,1.0712112946507915,0.07772183939636924
45.0,0.05623413251903491,2.0,rich,1.0446216622163063,0.047395977058242285
45.0,0.05623413251903491,2.0,poor,1.0370063951606858,0.03890895866901326
57.5,0.05623413251903491,2.0,rich,1.0231836430094596,0.023991101048906636
57.5,0.05623413251903491,2.0,poor,1.0192357446004063,0.019790453168007205
32.5,0.31622776601683794,-4.0,rich,1.1020919019472268,31.53334183005954
32.5,0.31622776601683794,-4.0,poor,1.7209973372135057,40.10459833530183
45.0,0.31622776601683794,-4.0,rich,1.11476160663492,0.3127587548570513
45.0,0.31622776601683794,-4.0,poor,1.0381795225046966,0.05212956035128086
57.5,0.31622776601683794,-4.0,rich,1.0026144475835284,0.0026555409116445867
57.5,0.31622776601683794,-4.0,poor,1.000916259945185,0.0009211658353040489
32.5,0.31622776601683794,-2.5,rich,1.7880726356426988,34.957863237320055
32.5,0.31622776601683794,-2.5,poor,1.4389695728120706,10.916298491573516
45.0,0.31622776601683794,-2.5,rich,1.0236230209134425,0.0274585904519307
45.0,0.31622776601683794,-2.5,poor,1.00809143358284,0.008389633261663688
57.5,0.31622776601683794,-2.5,rich,1.000580486618313,0.0005824459624032386
57.5,0.31622776601683794,-2.5,poor,1.0002040962797136,0.0002043371923766775
32.5,0.31622776601683794,-1.0,rich,1.2652270191818493,4.161388282134118
32.5,0.31622776601683794,-1.0,poor,1.076357127655961,0.19040869949737324
45.0,0.31622776601683794,-1.0,rich,1.0051049832058718,0.005218962099031066
45.0,0.31622776601683794,-1.0,poor,1.0017868297494084,0.0018003910318468066
57.5,0.31622776601683794,-1.0,rich,1.000129384327215,0.00012948104299077555
57.5,0.31622776601683794,-1.0,poor,1.0000455228026637,4.553476135784885e-05
32.5,0.31622776601683794,0.5,rich,1.0465122632250505,0.06328204370768882
32.5,0.31622776601683794,0.5,poor,1.0158123465413083,0.016610707606983587
45.0,0.31622776601683794,0.5,rich,1.0011317477083694,0.001137161348603212
45.0,0.31622776601683794,0.5,poor,1.0003978076023492,0.0003984728649225772
57.5,0.31622776601683794,0.5,rich,1.000028862623453,2.8867429597025396e-05
57.5,0.31622776601683794,0.5,poor,1.0000101566537896,1.0157248785100283e-05
32.5,0.31622776601683794,2.0,rich,1.00996597746846,0.010273397884013644
32.5,0.31622776601683794,2.0,poor,1.0034843251378933,0.0035209889006765777
45.0,0.31622776601683794,2.0,rich,1.000252171517056,0.00025243855972182055
45.0,0.31622776601683794,2.0,poor,1.0000887190444399,8.875205936945325e-05
57.5,0.31622776601683794,2.0,rich,1.0000064397775432,6.440016726915794e-06
57.5,0.31622776601683794,2.0,poor,1.0000022662131627,2.2662427814530954e-06
32.5,1.7782794100389228,-4.0,rich,1.0000220029017457,2.2050321737001076e-05
32.5,1.7782794100389228,-4.0,poor,1.0000000618671978,6.186756263343717e-08
45.0,1.7782794100389228,-4.0,rich,1.0000000000000244,2.4424906542133508e-14
45.0,1.7782794100389228,-4.0,poor,1.0,0.0
57.5,1.7782794100389228,-4.0,rich,1.0,0.0
57.5,1.7782794100389228,-4.0,poor,1.0,0.0
32.5,1.7782794100389228,-2.5,rich,1.0000049057570983,4.908082422439639e-06
32.5,1.7782794100389228,-2.5,poor,1.0000000138044063,1.38044245162264e-08
